::::
Sl.No:District:Area/Places:Enroll No:Channels
112:Dindigul:Dindigul (Incl. west):55729:AMN TV
113:Dindigul:Kodaikanal:55743:KALEES TV
114:Dindigul:Kodaikanal:55744:R TV
115:Dindigul:Kodaikanal:55745:ACN TV
116:Dindigul:Kodaikanal:55746:KING TV
117:Dindigul:Kodaikanal:55742:MEN TV
118:Dindigul:Natham:56541:N TV
119:Dindigul:Nilakottai:55736:ROYAL TV
120:Dindigul:Nilakottai:55737:7TH CHANNEL
121:Dindigul:Nilakottai:55738:7 MEDIA
122:Dindigul:Nilakottai:56680:KING TELEVISION
123:Dindigul:Oddanchatram:55734:SUPER TV
124:Dindigul:Oddanchatram:55735:7TH CHANNEL
125:Dindigul:Palani:55739:7TH CHANNEL NETWORK
126:Dindigul:Palani:55740:UDAYAM TV
127:Dindigul:Palani:55742:SUPER TV
128:Dindigul:Palani:56685:J TV
129:Dindigul:Palani:55741:PLN TV
130:Dindigul:Vedasandhur:56729:MAGIC TV
131:Erode:Anthiyur:55772:BALA TV
132:Erode:Anthiyur:55773:SS TV
133:Erode:Anthiyur:55774:SRG TV
134:Erode:Anthiyur:55775:SRIKRISHNA TV
135:Erode:Anthiyur:55776: VIDIYAL TV
136:Erode:Anthiyur:55777:ER AGARAM TV
137:Erode:Bhavani:55760:MALAR TV
138:Erode:Bhavani:55761:RCN TV
139:Erode:Bhavani:55762:V MAX TV
140:Erode:Bhavani:55763:S TV
141:Erode:Bhavani:55764:SRI KRISHNA TV
142:Erode:Bhavani:55765:SVV TV
143:Erode:Bhavani:55766:BHAVANI SANGAMAM TV
144:Erode:Erode:55747:RCN TV
145:Erode:Erode:55748:SRI KRISHNA TV
146:Erode:Erode:55749:AMN TV
147:Erode:Gobichettipalayam:55750:RCN TV
148:Erode:Gobichettipalayam:55751:GIRIRAM TV
149:Erode:Gobichettipalayam:55752:KUMARAN TV
150:Erode:Gobichettipalayam:55753:ACN TV
151:Erode:Gobichettipalayam:55754:AGRI TV
152:Erode:Gobichettipalayam:55755:SVV TV
153:Erode:Gobichettipalayam:55756:G TV
154:Erode:Gobichettipalayam:55757:S TV
155:Erode:Gobichettipalayam:55758:SRI KRISHNA TV
156:Erode:Perundurai:56764:CLAY MEDIA TIV
157:Erode:Perundurai:55797:MINNAL TV
158:Erode:Perundurai:55778:MALAR TV
159:Erode:Perundurai:55779:JAYAM TV
160:Erode:Perundurai:55780:SATHYA TV
161:Erode:Perundurai:55781:G TV
162:Erode:Perundurai:55782:RCN TV
163:Erode:Perundurai:55783:SIGARAM TV
164:Erode:Perundurai:55784:THAI TV
165:Erode:Perundurai:55785:SVV TV
166:Erode:Perundurai:55786:SRI KRISHNA TV
167:Erode:Perundurai:56679:R MEDIA WORKS (R TV)
168:Erode:Sathyamangalam:55767:SVV TV
169:Erode:Sathyamangalam:55769:RCN TV
170:Erode:Sathyamangalam:55770:SRI KRISHNA TV
171:Kanchipuram:Chengalpattu:55857:JP TV
172:Kanchipuram:Chengalpattu:55858:POWER CABLE
173:Kanchipuram:Chengalpattu:55859:MY TV
174:Kanchipuram:Chengalpattu:55860:AMN TV
175:Kanchipuram:Chengalpattu:55861:CITY TV
176:Kanchipuram:Chengalpattu:55862:Q VASANTHAM TV
177:Kanchipuram:Chengalpattu:55863:NILA TV
178:Kanchipuram:Chengalpattu:55864:JAY TV
179:Kanchipuram:Chengalpattu:55865:VEL TV
180:Kanchipuram:Chengalpattu:56518:UDHAYAM TV
181:Kanchipuram:Kanchipuram:55850:VISION TV
182:Kanchipuram:Kanchipuram:55851:AMN TV
183:Kanchipuram:Kanchipuram:55852:MY TV
184:Kanchipuram:Kanchipuram:56519:TEMPLE TV
185:Kanchipuram:Maduranthakam:55866:POWER CABLE
186:Kanchipuram:Maduranthakam:56050:Q CABLE
187:Kanchipuram:Thiruporur:55854:VIDIYAL TV
188:Kanchipuram:Thirukalukundram:55855:THARUN CABLE
189:Kanchipuram:Thirukalukundram:55856:JP TV
190:Kanchipuram:Thirukalukundram:56577:MALLAI TIV
191:Kanchipuram:Thirukalukundram:56677:TSN
192:Kanchipuram:Thirukalukundram:56736:CITY TV
193:Kanchipuram:Uthiramerur:55853:MY TV
194:Kanniyakumari:Agasteeswaram (Incl. Nagarcoil HQ):55787:SAR TV
195:Kanniyakumari:Agasteeswaram (Incl. Nagarcoil HQ):55788:MERCY TV
196:Kanniyakumari:Agasteeswaram (Incl. Nagarcoil HQ):55789:NTN TV
197:Kanniyakumari:Agasteeswaram (Incl. Nagarcoil HQ):55790:ARK TV
198:Kanniyakumari:Agasteeswaram (Incl. Nagarcoil HQ):55791:VTN TV
199:Kanniyakumari:Agasteeswaram (Incl. Nagarcoil HQ):55792:HEAVEN TV
200:Kanniyakumari:Agasteeswaram (Incl. Nagarcoil HQ):55793:AMMA TV
201:Kanniyakumari:Agasteeswaram (Incl. Nagarcoil HQ):55794:VANAVIL TV
202:Kanniyakumari:Agasteeswaram (Incl. Nagarcoil HQ):55795:TTN
203:Kanniyakumari:Agasteeswaram (Incl. Nagarcoil HQ):55796:G TV
204:Kanniyakumari:Kalkulam (Incl.Padmanabapuram, kulasekarapuram & Kolachal):55827:VIVEKA TV
205:Kanniyakumari:Kalkulam (Incl.Padmanabapuram, kulasekarapuram & Kolachal):55828:HAI TV
206:Kanniyakumari:Kalkulam (Incl.Padmanabapuram, kulasekarapuram & Kolachal):55829:RAINBOW TV
207:Kanniyakumari:Kalkulam (Incl.Padmanabapuram, kulasekarapuram & Kolachal):55830:JEYSON TV
208:Kanniyakumari:Kalkulam (Incl.Padmanabapuram, kulasekarapuram & Kolachal):55831:TTN TV
209:Kanniyakumari:Kalkulam (Incl.Padmanabapuram, kulasekarapuram & Kolachal):55832:NANCHIL TV
210:Kanniyakumari:Kalkulam (Incl.Padmanabapuram, kulasekarapuram & Kolachal):55833:KUMARI PLUS TV
211:Kanniyakumari:Kalkulam (Incl.Padmanabapuram, kulasekarapuram & Kolachal):55834:ITV CLASSIC
212:Kanniyakumari:Kalkulam (Incl.Padmanabapuram, kulasekarapuram & Kolachal):55835:AMMA NETWORK
213:Kanniyakumari:Kalkulam (Incl.Padmanabapuram, kulasekarapuram & Kolachal):55836:KUMARI TV
214:Kanniyakumari:Kalkulam (Incl.Padmanabapuram, kulasekarapuram & Kolachal):56513:AATHIRA TV
215:Kanniyakumari:Kalkulam (Incl.Padmanabapuram, kulasekarapuram & Kolachal):56514:HEAVEN TV 2010
216:Kanniyakumari:Kalkulam (Incl.Padmanabapuram, kulasekarapuram & Kolachal):56515:GCC TV
217:Kanniyakumari:Kalkulam (Incl.Padmanabapuram, kulasekarapuram & Kolachal):56516:NILA TV
218:Kanniyakumari:Nagercoil:56665:KUMARI TV
219:Kanniyakumari:Thovalai:55800:HEAVEN TV
220:Kanniyakumari:Thovalai:55801:KUMARI TV
221:Kanniyakumari:Thovalai:55802:SHANA SATELLITE VISION
222:Kanniyakumari:Thovalai:55803:MERCY TV
223:Kanniyakumari:Thovalai:55804:MTN TV
224:Kanniyakumari:Thovalai:55806:NANJIL TELEVISION NETWORK
225:Kanniyakumari:Thovalai:55807:KUMARI PLUS TV
226:Kanniyakumari:Vilavancode (Incl. Kuzhithurai):55798:V J TV
227:Kanniyakumari:Vilavancode (Incl. Kuzhithurai):55799:NILA TV
228:Karur:Karur:55808:KARUR TV
229:Karur:Karur:55809:AMN TV
230:Karur:Karur:55810:THIRUMALAI TV
231:Karur:Karur:55811:JAYAM PLUS TV
232:Karur:Karur:55812:VANAVIL PLUS
233:Karur:Karur:56776:RAINBOW TV
234:Karur:Kulithalai:56597:VANAVIL TV
235:Karur:Kulithalai:56598:JAYAM TV
236:Krishnagiri:Denkanikottai:55847:L TV
237:Krishnagiri:Denkanikottai:55848:CITI PLUS CHANNEL
238:Krishnagiri:Denkanikottai:55849:THEAN TV
239:Krishnagiri:Denkanikottai:56565:V2 CHANNEL
240:Krishnagiri:Denkanikottai:56691:NAKSHATRA TV
241:Krishnagiri:Hosur:56735:THEAN TV
242:Krishnagiri:Hosur:56738:ALPHA TV
243:Krishnagiri:Hosur:55837:J S TELEVISION
244:Krishnagiri:Hosur:55838:COMMERCIAL TV
245:Krishnagiri:Hosur:55839:VCN CHANNEL
246:Krishnagiri:Hosur:55840:SLS CHANNEL
247:Krishnagiri:Hosur:55841:KRISHNA TV
248:Krishnagiri:Hosur:55842:T S CHANNEL
249:Krishnagiri:Hosur:55843:J J TV
250:Krishnagiri:Hosur:55844:HIMALAYA CHANNEL
251:Krishnagiri:Hosur:55845:CITI CHANNEL
252:Krishnagiri:Krishnagiri:55821:KRI TAMILAN TV
253:Krishnagiri:Krishnagiri:55822:POP TV
254:Krishnagiri:Krishnagiri:55823:ANUMAN TV
255:Krishnagiri:Krishnagiri:55824:CITY ENTERTAINMENT
256:Krishnagiri:Krishnagiri:55825:7 HILLS TV
257:Krishnagiri:Krishnagiri:55826:VEL CHANNEL
258:Krishnagiri:Krishnagiri:56775:TAIL TV
259:Krishnagiri:Pochampalli:56618:KALAI TV
260:Krishnagiri:Pochampalli:56745:RAM TV
261:Krishnagiri:Pochampalli:56756:PRIYA TV
262:Krishnagiri:Uthangarai:55846:POP MUSIC
263:Krishnagiri:Uthangarai:56555:S TV
264:Madurai:Madurai (Incl. East, West, North, Thiruparankundram):55879:MGM TV
265:Madurai:Madurai (Incl. East, West, North, Thiruparankundram):55880:KRISHNA TV
266:Madurai:Madurai (Incl. East, West, North, Thiruparankundram):55881:LION TV
267:Madurai:Madurai (Incl. East, West, North, Thiruparankundram):55882:ANANDAM TV
268:Madurai:Madurai (Incl. East, West, North, Thiruparankundram):55883:SRI SABARI TV
269:Madurai:Melur:55893:KRISHNA TV
270:Madurai:Melur:55894:ANNAI TV
271:Madurai:Melur:55895:SRI SABARI TV
272:Madurai:Melur:55896:SAGAR TV
273:Madurai:Melur:55897:LION TV
274:Madurai:Melur:55898:ANANDAM TV
275:Madurai:Peraiyur:56542:RAJA TV
276:Madurai:Peraiyur:56755:R.K.V TV
277:Madurai:Peraiyur:55908:ANANDAM TV
278:Madurai:Peraiyur:55909:BHARANI TV
279:Madurai:Peraiyur:55910:LION TV
